fileName;probScore;xTopLeft;yTopLeft;xDownRight;yDownRight;
jpgImages\video\frames\moana_1080p_2min 238.jpg;0.87;61.63;211.27;299.11;507.91;
jpgImages\video\frames\moana_1080p_2min 239.jpg;0.98;66.89;225.43;294.58;503.90;
jpgImages\video\frames\moana_1080p_2min 239.jpg;0.96;436.02;71.63;940.16;512.93;
jpgImages\video\frames\moana_1080p_2min 240.jpg;1.00;476.16;103.94;967.29;512.71;
jpgImages\video\frames\moana_1080p_2min 240.jpg;0.79;40.18;218.09;307.35;496.13;
jpgImages\video\frames\moana_1080p_2min 241.jpg;0.99;441.62;115.56;1002.08;506.65;
jpgImages\video\frames\moana_1080p_2min 241.jpg;0.67;111.45;216.96;368.31;506.37;
jpgImages\video\frames\moana_1080p_2min 242.jpg;1.00;456.58;115.56;928.48;512.41;
jpgImages\video\frames\moana_1080p_2min 242.jpg;0.76;116.30;212.22;364.56;503.25;
jpgImages\video\frames\moana_1080p_2min 243.jpg;1.00;436.56;124.23;930.90;505.85;
jpgImages\video\frames\moana_1080p_2min 243.jpg;0.54;114.26;210.17;368.13;502.86;
jpgImages\video\frames\moana_1080p_2min 244.jpg;1.00;418.92;124.25;1005.42;503.59;
jpgImages\video\frames\moana_1080p_2min 244.jpg;0.70;41.33;208.09;314.72;499.53;
jpgImages\video\frames\moana_1080p_2min 245.jpg;1.00;363.91;121.48;939.22;501.81;
jpgImages\video\frames\moana_1080p_2min 245.jpg;0.76;47.81;210.40;305.05;497.69;
jpgImages\video\frames\moana_1080p_2min 246.jpg;0.94;377.62;47.76;986.19;493.28;
jpgImages\video\frames\moana_1080p_2min 246.jpg;0.32;113.66;67.55;737.46;523.97;
jpgImages\video\frames\moana_1080p_2min 247.jpg;0.31;1.56;68.10;587.31;521.77;
jpgImages\video\frames\moana_1080p_2min 247.jpg;0.28;397.86;68.64;1014.72;519.43;
jpgImages\video\frames\moana_1080p_2min 248.jpg;0.60;426.69;68.12;1050.22;515.32;
jpgImages\video\frames\moana_1080p_2min 248.jpg;0.42;183.47;49.36;792.43;542.24;
jpgImages\video\frames\moana_1080p_2min 249.jpg;0.38;425.11;63.84;1050.86;519.17;
jpgImages\video\frames\moana_1080p_2min 249.jpg;0.23;182.00;49.11;795.71;538.36;
jpgImages\video\frames\moana_1080p_2min 250.jpg;0.51;430.13;58.87;1047.26;524.16;
jpgImages\video\frames\moana_1080p_2min 250.jpg;0.27;183.80;49.53;796.52;534.77;
jpgImages\video\frames\moana_1080p_2min 251.jpg;0.34;685.04;69.80;1012.33;510.49;
jpgImages\video\frames\moana_1080p_2min 252.jpg;0.34;184.47;55.17;794.33;529.92;
jpgImages\video\frames\moana_1080p_2min 252.jpg;0.29;694.80;69.12;1008.66;511.09;
jpgImages\video\frames\moana_1080p_2min 253.jpg;0.49;284.45;60.45;820.82;528.27;
jpgImages\video\frames\moana_1080p_2min 253.jpg;0.41;722.93;63.91;1022.74;515.28;
